Player,Cluster
M Vijay,4
MS Dhoni,4
V Sehwag,1
UBT Chand,2
DA Warner,5
DPMD Jayawardene,4
BJ Rohrer,0
IK Pathan,4
M Morkel,0
Q de Kock,0
Ishan Kishan,2
SA Yadav,4
HH Pandya,0
M Vohra,2
WP Saha,4
DA Miller,4
GJ Bailey,0
AR Patel,0
GC Smith,0
YK Pathan,4
M Kaif,4
G Gambhir,0
S Dhawan,5
NV Ojha,4
V Kohli,0
SS Tiwary,4
DL Vettori,0
R Vinay Kumar,4
HV Patel,4
AM Rahane,5
SPD Smith,4
CA Lynn,1
MK Pandey,4
C de Grandhomme,0
Kuldeep Yadav,0
S Sohal,2
KC Sangakkara,0
JP Duminy,4
DT Christian,4
JM Bairstow,0
KS Williamson,4
Abdul Samad,2
AB de Villiers,4
Z Khan,0
RD Gaikwad,5
F du Plessis,2
AT Rayudu,4
SK Raina,0
BB McCullum,5
DR Smith,1
RA Jadeja,4
MEK Hussey,4
CH Gayle,2
STR Binny,4
Iqbal Abdulla,3
RG Sharma,4
KH Pandya,2
KA Pollard,4
KL Rahul,1
MA Agarwal,4
AK Markram,2
M Shahrukh Khan,4
MM Ali,0
KM Jadhav,4
JC Buttler,1
RV Uthappa,2
SV Samson,4
R Parag,3
R Tewatia,4
AC Blizzard,4
SR Tendulkar,2
JEC Franklin,0
R Sathish,4
AN Ahmed,4
AC Gilchrist,1
KD Karthik,4
R McLaren,4
SR Watson,0
PA Patel,0
BJ Hodge,0
RA Tripathi,1
MS Bisla,0
JH Kallis,0
S Chanderpaul,0
R Dravid,4
LRPL Taylor,4
MV Boucher,2
DJ Bravo,4
SM Pollock,0
DS Kulkarni,4
MC Henriques,0
EJG Morgan,0
A Ashish Reddy,5
KV Sharma,4
V Shankar,4
SS Iyer,4
Mandeep Singh,0
SE Marsh,1
DJ Hussey,4
P Negi,4
GH Vihari,4
DJG Sammy,4
MK Tiwary,0
RN ten Doeschate,3
Niraj Patel,4
SA Asnodkar,0
AJ Finch,2
AD Russell,4
DS Lehmann,0
ML Hayden,5
AM Nayar,0
KP Pietersen,4
S Badrinath,0
LMP Simmons,5
MJ McClenaghan,4
JJ Bumrah,4
MK Lomror,4
TK Curran,4
JC Archer,4
Shubman Gill,4
VR Iyer,4
PP Shaw,0
RR Pant,5
N Rana,0
UT Khawaja,0
NLTC Perera,4
Harbhajan Singh,4
Washington Sundar,4
S Dube,4
JD Unadkat,4
MP Stoinis,0
SO Hetmyer,4
Abhishek Sharma,4
KK Nair,0
SC Ganguly,4
CA Pujara,4
OA Shah,4
AL Menaria,0
Mohammad Hafeez,4
TL Suman,4
Yuvraj Singh,0
AD Mathews,4
LA Pomersbach,4
W Jaffer,4
AA Noffke,4
P Kumar,2
B Chipli,4
S Sriram,0
Bipul Sharma,4
TM Dilshan,0
M Manhas,4
PD Collingwood,2
A Nehra,4
BA Stokes,2
YBK Jaiswal,0
D Padikkal,1
PK Garg,4
C Munro,4
RM Patidar,0
Shahbaz Ahmed,4
KA Jamieson,0
SM Curran,4
RE Levi,1
DB Das,4
B Lee,2
K Goel,0
JR Hopes,1
SM Katich,4
CA Ingram,4
SE Rutherford,4
UA Birla,4
M Rawat,4
Azhar Mahmood,2
DW Steyn,4
AD Nath,4
Y Venugopal Rao,0
Y Nagar,0
HH Gibbs,0
A Symonds,4
B Sumanth,0
N Pooran,5
DJ Hooda,4
GJ Maxwell,4
K Gowtham,4
JD Ryder,0
CJ Ferguson,4
J Botha,4
AS Raut,4
JO Holder,3
Y Gnaneswara Rao,0
CR Brathwaite,4
PJ Cummins,0
DJ Harris,4
CL White,0
VVS Laxman,5
RS Bopara,4
PP Chawla,4
YV Takawale,0
ST Jayasuriya,4
Shahid Afridi,2
SB Styris,4
CH Morris,4
AP Majumdar,0
SP Jackson,4
CM Gautam,5
CJ Anderson,2
SP Narine,2
PC Valthaty,1
Sunny Singh,4
LR Shukla,4
Yashpal Singh,0
R Bhatia,4
H Klaasen,4
MD Mishra,0
R Sharma,4
MJ Guptill,1
HM Amla,0
JM Kemp,0
JA Morkel,4
JP Faulkner,0
SK Trivedi,4
Salman Butt,0
Umar Gul,0
S Vidyut,5
SP Fleming,5
R Ashwin,4
Gurkeerat Singh,4
TM Head,0
BMAJ Mendis,4
DT Patil,4
E Lewis,5
RK Singh,4
MM Sharma,0
Anirudh Singh,4
MJ Clarke,4
DB Ravi Teja,0
